Seller,Product,Price,Quantity,Line Amount,Tax %,Tax,Profit %,Profit,Final Price,Final Price per Piece,Barcode
ANU NEETI CREATION PRIVATE LIMITED,AN - 131 COLOUR,2095,2,3771,12,452,10,380,3803,1902,000000000001000000
ANU NEETI CREATION PRIVATE LIMITED,AN - 131 COLOUR,2095,2,3771,12,452,10,380,3803,1902,000000000001000001
ANU NEETI CREATION PRIVATE LIMITED,AN - 220,1795,1,1615,12,194,10,162,1821,1821,000000000002000002
ANU NEETI CREATION PRIVATE LIMITED,AN - 203,1095,2,1971,12,236,10,197,2204,1102,000000000003000004
ANU NEETI CREATION PRIVATE LIMITED,AN - 203,1095,2,1971,12,236,10,197,2204,1102,000000000003000005
ANU NEETI CREATION PRIVATE LIMITED,AN - 208,2095,2,3771,12,452,10,380,3803,1902,000000000004000006
ANU NEETI CREATION PRIVATE LIMITED,AN - 208,2095,2,3771,12,452,10,380,3803,1902,000000000004000007
ANU NEETI CREATION PRIVATE LIMITED,AN - 204 C / R,2495,2,4491,12,539,10,449,5029,2514,000000000005000008
ANU NEETI CREATION PRIVATE LIMITED,AN - 204 C / R,2495,2,4491,12,539,10,449,5029,2514,000000000005000009
ANU NEETI CREATION PRIVATE LIMITED,AN - 671 C / R,1995,2,3591,12,431,10,359,4010,2005,000000000006000010
ANU NEETI CREATION PRIVATE LIMITED,AN - 671 C / R,1995,2,3591,12,431,10,359,4010,2005,000000000006000011
ANU NEETI CREATION PRIVATE LIMITED,AN - 671 KORA,1895,1,1705,12,205,10,171,1921,1921,000000000007000012
ANU NEETI CREATION PRIVATE LIMITED,AN - 253,1995,1,1795,12,215,10,180,2010,2010,000000000008000014
ANU NEETI CREATION PRIVATE LIMITED,AN - 227,2195,2,3951,12,474,10,395,4420,2210,000000000009000016
ANU NEETI CREATION PRIVATE LIMITED,AN - 227,2195,2,3951,12,474,10,395,4420,2210,000000000009000017
