Seller,Product,Price,Quantity,Line Amount,Tax %,Tax,Profit %,Profit,Final Price,Final Price per Piece,Barcode
ANU NEETI CREATION PRIVATE LIMITED,AN - 131 COLOUR,2095.00,2,3771.20,12,452.54,10,380.33,3803.07,1901.54,000000000001000000
ANU NEETI CREATION PRIVATE LIMITED,AN - 131 COLOUR,2095.00,2,3771.20,12,452.54,10,380.33,3803.07,1901.54,000000000001000001
ANU NEETI CREATION PRIVATE LIMITED,AN - 220,1795.00,1,1614.69,12,194.96,10,161.22,1816.87,1816.87,000000000002000002
ANU NEETI CREATION PRIVATE LIMITED,AN - 203,1095.00,2,1970.92,12,236.51,10,196.09,2199.51,1099.75,000000000003000003
ANU NEETI CREATION PRIVATE LIMITED,AN - 203,1095.00,2,1970.92,12,236.51,10,196.09,2199.51,1099.75,000000000003000004
ANU NEETI CREATION PRIVATE LIMITED,AN - 208,2095.00,2,3771.20,12,452.54,10,380.33,3803.07,1901.54,000000000004000005
ANU NEETI CREATION PRIVATE LIMITED,AN - 208,2095.00,2,3771.20,12,452.54,10,380.33,3803.07,1901.54,000000000004000006
ANU NEETI CREATION PRIVATE LIMITED,AN - 204 C / R,2495.00,2,4490.24,12,538.83,10,448.38,5027.45,2513.73,000000000005000007
ANU NEETI CREATION PRIVATE LIMITED,AN - 204 C / R,2495.00,2,4490.24,12,538.83,10,448.38,5027.45,2513.73,000000000005000008
ANU NEETI CREATION PRIVATE LIMITED,AN - 671 C / R,1995.00,2,3590.40,12,430.85,10,358.08,4003.33,2001.67,000000000006000009
ANU NEETI CREATION PRIVATE LIMITED,AN - 671 C / R,1995.00,2,3590.40,12,430.85,10,358.08,4003.33,2001.67,000000000006000010
ANU NEETI CREATION PRIVATE LIMITED,AN - 671 KORA,1895.00,1,1704.82,12,204.58,10,170.41,1918.82,1918.82,000000000007000011
ANU NEETI CREATION PRIVATE LIMITED,AN - 253,1995.00,1,1794.82,12,215.38,10,179.49,2004.88,2004.88,000000000008000012
ANU NEETI CREATION PRIVATE LIMITED,AN - 227,2195.00,2,3950.26,12,474.03,10,394.81,4418.10,2209.05,000000000009000013
ANU NEETI CREATION PRIVATE LIMITED,AN - 227,2195.00,2,3950.26,12,474.03,10,394.81,4418.10,2209.05,000000000009000014
